paper_id,pub_year,cited_by,author_ids
https://openalex.org/W2156037315,2006,82,"['https://openalex.org/A5008439962', 'https://openalex.org/A5025245458', 'https://openalex.org/A5006895683']"
https://openalex.org/W2421770991,2016,45,"['https://openalex.org/A5010287399', 'https://openalex.org/A5040094074']"
https://openalex.org/W2402956782,2021,26,"['https://openalex.org/A5077293116', 'https://openalex.org/A5022477886', 'https://openalex.org/A5047121097', 'https://openalex.org/A5015171883', 'https://openalex.org/A5067534857']"
https://openalex.org/W1526897159,2011,45,"['https://openalex.org/A5008439962', 'https://openalex.org/A5068556395']"
https://openalex.org/W2070306376,2013,39,"['https://openalex.org/A5008439962', 'https://openalex.org/A5068556395']"
https://openalex.org/W2799924119,2018,37,"['https://openalex.org/A5013394195', 'https://openalex.org/A5062365263', 'https://openalex.org/A5100355277', 'https://openalex.org/A5103017598', 'https://openalex.org/A5044100655']"
https://openalex.org/W2395690074,2016,36,"['https://openalex.org/A5062365263', 'https://openalex.org/A5100355277', 'https://openalex.org/A5100337209', 'https://openalex.org/A5100320969']"
https://openalex.org/W2795027053,2018,33,"['https://openalex.org/A5062365263', 'https://openalex.org/A5040747504', 'https://openalex.org/A5023364449', 'https://openalex.org/A5100355277', 'https://openalex.org/A5101439558', 'https://openalex.org/A5101801123']"
https://openalex.org/W3152842342,2021,23,"['https://openalex.org/A5055592366', 'https://openalex.org/A5100711272', 'https://openalex.org/A5062365263', 'https://openalex.org/A5100751331', 'https://openalex.org/A5100355366']"
https://openalex.org/W2733810386,2017,32,"['https://openalex.org/A5013394195', 'https://openalex.org/A5101481094', 'https://openalex.org/A5062365263', 'https://openalex.org/A5100355277', 'https://openalex.org/A5101527758', 'https://openalex.org/A5044100655']"
https://openalex.org/W2975086052,2019,29,"['https://openalex.org/A5008439962', 'https://openalex.org/A5047919716', 'https://openalex.org/A5097215551', 'https://openalex.org/A5013216755', 'https://openalex.org/A5091759851']"
https://openalex.org/W2984028244,2019,26,"['https://openalex.org/A5091759851', 'https://openalex.org/A5008439962', 'https://openalex.org/A5068556395', 'https://openalex.org/A5025717153', 'https://openalex.org/A5087990460', 'https://openalex.org/A5072653864', 'https://openalex.org/A5086926559', 'https://openalex.org/A5091497538', 'https://openalex.org/A5034773967']"
https://openalex.org/W2979265655,2019,25,"['https://openalex.org/A5080791781', 'https://openalex.org/A5014394213']"
https://openalex.org/W4220762274,2022,15,"['https://openalex.org/A5014394213', 'https://openalex.org/A5080791781', 'https://openalex.org/A5077079119']"
https://openalex.org/W4312201978,2022,15,"['https://openalex.org/A5065702439', 'https://openalex.org/A5013216755', 'https://openalex.org/A5027261073', 'https://openalex.org/A5026949484', 'https://openalex.org/A5008439962', 'https://openalex.org/A5091759851']"
https://openalex.org/W2066878512,2013,28,"['https://openalex.org/A5067952043', 'https://openalex.org/A5008439962', 'https://openalex.org/A5057803453']"
https://openalex.org/W2953056662,2018,27,"['https://openalex.org/A5080193434', 'https://openalex.org/A5023075601', 'https://openalex.org/A5008439962']"
https://openalex.org/W4241434919,2020,20,"['https://openalex.org/A5006314379', 'https://openalex.org/A5026949484', 'https://openalex.org/A5068556395', 'https://openalex.org/A5017914184', 'https://openalex.org/A5008439962']"
https://openalex.org/W2039258799,2012,27,"['https://openalex.org/A5008577882', 'https://openalex.org/A5036570838', 'https://openalex.org/A5111723443', 'https://openalex.org/A5015171883', 'https://openalex.org/A5101464855', 'https://openalex.org/A5079709784', 'https://openalex.org/A5049969740', 'https://openalex.org/A5067534857', 'https://openalex.org/A5075777334']"
https://openalex.org/W2907806693,2018,23,"['https://openalex.org/A5023364449', 'https://openalex.org/A5100751331', 'https://openalex.org/A5062365263', 'https://openalex.org/A5100355277', 'https://openalex.org/A5015873569']"
https://openalex.org/W2794828524,2019,21,"['https://openalex.org/A5010287399', 'https://openalex.org/A5040094074', 'https://openalex.org/A5017222566']"
https://openalex.org/W2342591757,2016,20,"['https://openalex.org/A5008439962', 'https://openalex.org/A5067952043']"
https://openalex.org/W3092846560,2020,19,"['https://openalex.org/A5100751331', 'https://openalex.org/A5023364449', 'https://openalex.org/A5062365263', 'https://openalex.org/A5012497196', 'https://openalex.org/A5100453429', 'https://openalex.org/A5100355277']"
https://openalex.org/W3125248257,2020,18,"['https://openalex.org/A5000465232', 'https://openalex.org/A5010601798', 'https://openalex.org/A5048165961', 'https://openalex.org/A5015171883']"
https://openalex.org/W3037502709,2020,16,"['https://openalex.org/A5023364449', 'https://openalex.org/A5100751328', 'https://openalex.org/A5062365263', 'https://openalex.org/A5100453551', 'https://openalex.org/A5085088189', 'https://openalex.org/A5039253223', 'https://openalex.org/A5100355339']"
https://openalex.org/W3044729571,2021,14,"['https://openalex.org/A5091759851', 'https://openalex.org/A5008439962', 'https://openalex.org/A5068556395', 'https://openalex.org/A5025717153', 'https://openalex.org/A5034773967']"
https://openalex.org/W2018674585,2009,22,"['https://openalex.org/A5023211206', 'https://openalex.org/A5100456060', 'https://openalex.org/A5100344581', 'https://openalex.org/A5035518479', 'https://openalex.org/A5031034777', 'https://openalex.org/A5060105726']"
https://openalex.org/W2952165157,2020,15,"['https://openalex.org/A5047919716', 'https://openalex.org/A5008439962', 'https://openalex.org/A5049035119', 'https://openalex.org/A5041381906', 'https://openalex.org/A5068556395']"
